participant,group,complexity,trial,completion_time,strategy_div,head_move,difficulty
P01,3D-only,complex,1,57.27246739,0.318681319,3.912,4
P01,3D-only,complex,2,60.96232282,0.409090909,4.421,4
P01,3D-only,complex,3,66.71352097,0.423076923,4.513,5
P01,3D-only,simple,4,24.13138249,0.266666667,2.342,3
P01,3D-only,simple,5,25.71768278,0.3,2.732,3
P01,3D-only,simple,6,17.48166961,0.238095238,1.855,2
P01,3D-only,complex,7,72.18135288,0.362637363,5.02,4
P01,3D-only,complex,8,55.08974042,0.380952381,3.956,4
P01,3D-only,simple,9,38.33066977,0.266666667,3.157,3
P01,3D-only,simple,10,20.12795146,0.2,1.932,2
P01,3D-only,simple,11,28.02753712,0.380952381,2.371,3
P01,3D-only,complex,12,57.79091952,0.424242424,4.127,3
P02,3D-only,complex,1,66.44332307,0.287878788,4.939,4
P02,3D-only,simple,2,22.91088208,0.133333333,2.038,3
P02,3D-only,complex,3,57.78659923,0.161904762,3.76,3
P02,3D-only,complex,4,69.29089297,0.560606061,5.125,4
P02,3D-only,complex,5,58.75030915,0.362637363,4.266,5
P02,3D-only,complex,6,81.15760646,0.373626374,5.454,5
P02,3D-only,simple,7,18.05909579,0.4,1.96,1
P02,3D-only,simple,8,41.11709781,0.19047619,2.419,2
P02,3D-only,simple,9,23.88006153,0.266666667,2.177,2
P02,3D-only,complex,10,51.34793543,0.308333333,3.754,4
P02,3D-only,simple,11,34.8849508,0.3,3.036,3
P02,3D-only,simple,12,26.59995745,0.166666667,2.384,3
P03,3D-only,simple,1,34.21828567,0.2,2.823,4
P03,3D-only,complex,2,71.57621467,0.384615385,5.322,5
P03,3D-only,simple,3,26.15400795,0.3,2.521,2
P03,3D-only,complex,4,70.60575499,0.397435897,5.328,5
P03,3D-only,simple,5,29.84964131,0.4,2.747,3
P03,3D-only,complex,6,60.70677872,0.425,4.682,4
P03,3D-only,complex,7,50.16640847,0,3.889,3
P03,3D-only,complex,8,74.29536837,0.296703297,5.761,5
P03,3D-only,simple,9,37.74865012,0.238095238,3.185,3
P03,3D-only,simple,10,17.3158883,0.333333333,1.813,2
P03,3D-only,simple,11,20.28339996,0.238095238,2.087,2
P03,3D-only,complex,12,61.16862041,0.314285714,4.332,3
P04,3D-only,complex,1,62.86970572,0.384615385,4.024,4
P04,3D-only,simple,2,32.3043044,0.06667,2.882,4
P04,3D-only,simple,3,27.79157059,0,2.239,2
P04,3D-only,complex,4,76.24552461,0.457142857,5.03,3
P04,3D-only,complex,5,48.06649587,0.525641026,3.715,4
P04,3D-only,complex,6,56.74987236,0.378787879,4.126,4
P04,3D-only,complex,7,58.88395207,0.256410256,3.988,3
P04,3D-only,simple,8,40.3660973,0.133333333,2.956,4
P04,3D-only,complex,9,75.4908345,0.406593407,5.464,3
P04,3D-only,simple,10,35.69574173,0.380952381,3.264,3
P04,3D-only,simple,11,33.59775583,0.3,2.972,2
P04,3D-only,simple,12,29.36936976,0.238095238,2.563,3
P05,3D-only,complex,1,76.96261402,0.53030303,5.624,5
P05,3D-only,complex,2,58.98716726,0.43956044,3.752,5
P05,3D-only,simple,3,27.1014155,0.266666667,2.346,3
P05,3D-only,complex,4,59.65870114,0.243589744,3.958,4
P05,3D-only,simple,5,23.50988219,0.238095238,2.527,2
P05,3D-only,simple,6,27.3641525,0.2,2.363,3
P05,3D-only,simple,7,25.63876772,0,2.335,1
P05,3D-only,complex,8,63.03170258,0.441666667,4.024,4
P05,3D-only,complex,9,50.58771301,0.375,3.739,4
P05,3D-only,complex,10,50.44171225,0.457142857,3.96,2
P05,3D-only,simple,11,30.24764627,0.09523,2.455,1
P05,3D-only,simple,12,39.65924216,0.333333333,3.222,3
P06,3D-only,complex,1,70.25926458,0.512820513,4.781,5
P06,3D-only,simple,2,27.50346026,0.266666667,2.422,3
P06,3D-only,complex,3,72.48877857,0.276190476,4.263,4
P06,3D-only,complex,4,59.65163872,0.243589744,3.938,4
P06,3D-only,complex,5,64.58560098,0.39047619,4.2,4
P06,3D-only,simple,6,30.87052268,0.238095238,2.689,3
P06,3D-only,simple,7,23.5055357,0.266666667,1.935,2
P06,3D-only,complex,8,44.63591746,0.461538462,3.693,4
P06,3D-only,simple,9,40.89102529,0,3.311,4
P06,3D-only,simple,10,20.1977084,0.4,1.731,2
P06,3D-only,complex,11,47.32670193,0.424242424,3.92,3
P06,3D-only,simple,12,26.48404031,0.2,2.673,3
P07,3D-only,complex,1,69.444054,0.363636364,5.151,4
P07,3D-only,simple,2,20.6566379,0,2.066,1
P07,3D-only,simple,3,36.56542427,0.238095238,2.827,3
P07,3D-only,complex,4,67.69155312,0.46969697,5.016,4
P07,3D-only,simple,5,36.05878601,0.3,2.712,2
P07,3D-only,complex,6,63.68277294,0.393939394,4.825,5
P07,3D-only,complex,7,78.21530537,0.39047619,5.465,4
P07,3D-only,simple,8,32.25371791,0.238095238,2.956,2
P07,3D-only,simple,9,35.53050456,0,2.314,2
P07,3D-only,simple,10,36.64643852,0.333333333,3.055,1
